Bd,day,Month,year,Exp_Day,ID_Number
6318.442993,14,12,2017,35,99
1435.786896,14,12,2017,35,100
343283.4766,14,12,2017,35,110
5.87443471,14,12,2017,35,114
183866.7969,14,12,2017,35,118
0,14,12,2017,35,121
207.8339767,14,12,2017,35,123
4807.580261,17,12,2017,38,1
120222.0898,17,12,2017,38,3
6707.44751,17,12,2017,38,7
210324.707,17,12,2017,38,9
0,17,12,2017,38,10
224211.8555,17,12,2017,38,13
435.4917908,17,12,2017,38,22
842.09,17,12,2017,38,26
0,17,12,2017,38,28
0,17,12,2017,38,29
3503.786011,17,12,2017,38,31
197.4477196,17,12,2017,38,33
72.49046326,17,12,2017,38,34
73754.375,17,12,2017,38,35
0,17,12,2017,38,44
0,17,12,2017,38,49
47217.87109,17,12,2017,38,50
477641.1328,17,12,2017,38,52
630621.9141,17,12,2017,38,56
391589.4922,17,12,2017,38,57
13.65016937,17,12,2017,38,59
7558.589478,17,12,2017,38,61
134290.8691,17,12,2017,38,65
4.706127644,17,12,2017,38,66
63.8280344,17,12,2017,38,67
203085.293,17,12,2017,38,71
0,17,12,2017,38,74
48026.5918,17,12,2017,38,78
131388.2813,17,12,2017,38,85
0,17,12,2017,38,86
82124.90234,17,12,2017,38,88
85.08805275,17,12,2017,38,94
79572.5,17,12,2017,38,97
42253.49121,17,12,2017,38,99
81112.66602,17,12,2017,38,100
361952.6953,17,12,2017,38,110
0,17,12,2017,38,114
0,17,12,2017,38,121
5120.20874,17,12,2017,38,123
5481.593628,19,12,2017,41,1
81190.55176,19,12,2017,41,3
5341.862793,19,12,2017,41,7
76457.32422,19,12,2017,41,9
0,19,12,2017,41,10
NA,19,12,2017,41,12
8673.377686,19,12,2017,41,13
2477.813568,19,12,2017,41,22
2809.290161,19,12,2017,41,26
0,19,12,2017,41,28
0,19,12,2017,41,29
9674.623413,19,12,2017,41,31
376.1379242,19,12,2017,41,33
92.83638954,19,12,2017,41,34
136976.2988,19,12,2017,41,35
0,19,12,2017,41,44
NA,19,12,2017,41,46
0.02022919,19,12,2017,41,49
37726.19629,19,12,2017,41,50
NA,19,12,2017,41,52
NA,19,12,2017,41,55
266183.7109,19,12,2017,41,56
41075.19043,19,12,2017,41,57
21.19778156,19,12,2017,41,59
26349.14551,19,12,2017,41,61
22549.54834,19,12,2017,41,65
0,19,12,2017,41,66
0,19,12,2017,41,67
NA,19,12,2017,41,70
154296.4453,19,12,2017,41,71
0,19,12,2017,41,74
NA,19,12,2017,41,77
166610.957,19,12,2017,41,78
14070.26245,19,12,2017,41,85
0,19,12,2017,41,86
35732.10449,19,12,2017,41,88
88.78012657,19,12,2017,41,94
59280.41992,19,12,2017,41,97
60505.18066,19,12,2017,41,99
42187.08008,19,12,2017,41,100
82650.73242,19,12,2017,41,110
0,19,12,2017,41,114
NA,19,12,2017,41,118
0,19,12,2017,41,121
3246.913147,19,12,2017,41,123
4769.673767,22,12,2017,43,1
283239.2773,22,12,2017,43,3
12318.90259,22,12,2017,43,7
68094.90723,22,12,2017,43,9
0,22,12,2017,43,10
NA,22,12,2017,43,12
39531.41846,22,12,2017,43,13
13856.24756,22,12,2017,43,22
8864.039917,22,12,2017,43,26
0,22,12,2017,43,28
0,22,12,2017,43,29
43893.4668,22,12,2017,43,31
992.0011139,22,12,2017,43,33
443.1993866,22,12,2017,43,34
312616.543,22,12,2017,43,35
0,22,12,2017,43,44
NA,22,12,2017,43,46
0,22,12,2017,43,49
212377.2852,22,12,2017,43,50
NA,22,12,2017,43,52
NA,22,12,2017,43,55
635853.5156,22,12,2017,43,56
124863.291,22,12,2017,43,57
0,22,12,2017,43,59
41334.02344,22,12,2017,43,61
88633.53516,22,12,2017,43,65
0,22,12,2017,43,66
0,22,12,2017,43,67
NA,22,12,2017,43,70
287988.75,22,12,2017,43,71
0,22,12,2017,43,74
NA,22,12,2017,43,77
196900.8203,22,12,2017,43,78
57647.02637,22,12,2017,43,85
0,22,12,2017,43,86
33355.77637,22,12,2017,43,88
171.0445404,22,12,2017,43,94
139879.0137,22,12,2017,43,97
145840.957,22,12,2017,43,99
44043.49121,22,12,2017,43,100
82523.85742,22,12,2017,43,110
0,22,12,2017,43,114
NA,22,12,2017,43,118
0,22,12,2017,43,121
4988.961487,22,12,2017,43,123
22661.93115,28,12,2017,50,1
219480.4492,28,12,2017,50,3
13584.89624,28,12,2017,50,7
297451.8945,28,12,2017,50,9
0,28,12,2017,50,10
NA,28,12,2017,50,12
89878.85742,28,12,2017,50,13
18836.63818,28,12,2017,50,22
13320.77148,28,12,2017,50,26
0,28,12,2017,50,28
0,28,12,2017,50,29
16419.45923,28,12,2017,50,31
24081.77002,28,12,2017,50,33
2738.616943,28,12,2017,50,34
NA,28,12,2017,50,35
0,28,12,2017,50,44
NA,28,12,2017,50,46
0,28,12,2017,50,49
NA,28,12,2017,50,50
NA,28,12,2017,50,52
NA,28,12,2017,50,55
NA,28,12,2017,50,56
106682.3535,28,12,2017,50,57
0,28,12,2017,50,59
108612.6172,28,12,2017,50,61
80977.20215,28,12,2017,50,65
0,28,12,2017,50,66
0,28,12,2017,50,67
NA,28,12,2017,50,70
437640.0391,28,12,2017,50,71
0,28,12,2017,50,74
NA,28,12,2017,50,77
212469.2188,28,12,2017,50,78
222328.9648,28,12,2017,50,85
0,28,12,2017,50,86
NA,28,12,2017,50,88
988.6901855,28,12,2017,50,94
NA,28,12,2017,50,97
194427.3828,28,12,2017,50,99
174511.5039,28,12,2017,50,100
436875.5469,28,12,2017,50,110
0,28,12,2017,50,114
NA,28,12,2017,50,118
0,28,12,2017,50,121
16583.7439,28,12,2017,50,123
